runname=input_Earth 
layers_found=[silicate,iron] 
phases_found=[pd,pv,ppv,liquid,solid] 
ir_comp_layer=[0,5678] 
ir_phase_layer=[0,1238,5295,10270] 
glob_variab=[[128000000000.0, 4.2, 0.99, 2.1, 2e-05, 3, 3516.34, 1.3347850228117743e-05, 0.7459369579289227, 215373834693.77478, 219528819215.5574, 1, 1, 0, 1265.0],[169650000000.0, 4, 1, 1.4, 2e-05, 3, 3868.6235, 6.639267439902973e-06, 0.5977350803215429, 573403318632.4905, 578673568035.1329, 1, 1, 0, 1265.0],[324500000000.0, 3.3, 1.48, 1.4, 2e-05, 2.1, 4260.0, 8.114115062319741e-06, 0.9714644807972537, 767621201686.7317, 781843694922.8562, 1, 1, 0, 1265.0],[145520000000.0, 4.125, 2.1664000000000003, 0.644, 4e-05, 3, 6129.200000000001, 5.071781924046409e-06, 1.3906064461387704, 1185539027717.2808, 1231726587225.441, 1, 1, 0, 840.0],[207090000000.0, 5.64, 1.6, 0.92, 4e-05, 3, 7399.7484, 7.186760549386661e-06, 0.9451304579076872, 2206278268426.024, 2290378904830.522, 10.760757003919487, 3495833.023854817, 1, 840.0]] 
i_g_change=11453 
i,r,rho,m,g,P,T,alpha,gamma,T_melt_Fe,Kt,Ks 
28,6298644.462430,3529.728965,5.946865e+24,10.004267,5.070660e+08,1731.476450,1.977327e-05,0.982130,nan,1.344270e+11,1.300539e+11 
29,6298148.389609,3530.188873,5.945992e+24,10.004374,5.245847e+08,1731.697992,1.976554e-05,0.981862,nan,1.344978e+11,1.301247e+11 
30,6297652.316788,3530.648664,5.945119e+24,10.004481,5.421059e+08,1731.919417,1.975782e-05,0.981593,nan,1.345686e+11,1.301955e+11 
31,6297156.243967,3531.108338,5.944246e+24,10.004589,5.596296e+08,1732.140723,1.975011e-05,0.981325,nan,1.346395e+11,1.302663e+11 
32,6296660.171146,3531.567895,5.943373e+24,10.004696,5.771557e+08,1732.361913,1.974240e-05,0.981057,nan,1.347103e+11,1.303371e+11 
33,6296164.098325,3532.027334,5.942500e+24,10.004803,5.946843e+08,1732.582985,1.973469e-05,0.980789,nan,1.347811e+11,1.304079e+11 
34,6295668.025504,3532.486657,5.941627e+24,10.004910,6.122154e+08,1732.803939,1.972700e-05,0.980521,nan,1.348519e+11,1.304787e+11 
35,6295171.952683,3532.945862,5.940755e+24,10.005017,6.297490e+08,1733.024777,1.971931e-05,0.980253,nan,1.349228e+11,1.305494e+11 
36,6294675.879862,3533.404951,5.939882e+24,10.005124,6.472850e+08,1733.245498,1.971162e-05,0.979986,nan,1.349936e+11,1.306202e+11 
37,6294179.807041,3533.863924,5.939009e+24,10.005231,6.648234e+08,1733.466102,1.970394e-05,0.979719,nan,1.350644e+11,1.306910e+11 
38,6293683.734220,3534.322779,5.938136e+24,10.005337,6.823644e+08,1733.686589,1.969627e-05,0.979452,nan,1.351352e+11,1.307618e+11 
39,6293187.661399,3534.781519,5.937264e+24,10.005444,6.999078e+08,1733.906959,1.968860e-05,0.979185,nan,1.352060e+11,1.308326e+11 
40,6292691.588578,3535.240142,5.936391e+24,10.005551,7.174537e+08,1734.127214,1.968094e-05,0.978918,nan,1.352768e+11,1.309034e+11 
41,6292195.515757,3535.698649,5.935518e+24,10.005658,7.350020e+08,1734.347351,1.967328e-05,0.978651,nan,1.353476e+11,1.309741e+11 
42,6291699.442936,3536.157040,5.934646e+24,10.005764,7.525528e+08,1734.567373,1.966563e-05,0.978385,nan,1.354184e+11,1.310449e+11 
43,6291203.370115,3536.615315,5.933773e+24,10.005871,7.701060e+08,1734.787278,1.965799e-05,0.978119,nan,1.354892e+11,1.311157e+11 
44,6290707.297294,3537.073474,5.932900e+24,10.005977,7.876618e+08,1735.007068,1.965035e-05,0.977853,nan,1.355600e+11,1.311864e+11 
45,6290211.224473,3537.531518,5.932028e+24,10.006084,8.052199e+08,1735.226741,1.964272e-05,0.977587,nan,1.356308e+11,1.312572e+11 
46,6289715.151652,3537.989446,5.931155e+24,10.006190,8.227806e+08,1735.446299,1.963509e-05,0.977321,nan,1.357016e+11,1.313280e+11 
47,6289219.078831,3538.447258,5.930283e+24,10.006297,8.403437e+08,1735.665741,1.962747e-05,0.977056,nan,1.357724e+11,1.313988e+11 
48,6288723.006010,3538.904955,5.929410e+24,10.006403,8.579092e+08,1735.885067,1.961986e-05,0.976790,nan,1.358432e+11,1.314695e+11 
49,6288226.933189,3539.362537,5.928538e+24,10.006509,8.754772e+08,1736.104279,1.961225e-05,0.976525,nan,1.359139e+11,1.315403e+11 
50,6287730.860368,3539.820004,5.927665e+24,10.006615,8.930477e+08,1736.323374,1.960465e-05,0.976260,nan,1.359847e+11,1.316110e+11 
51,6287234.787547,3540.277355,5.926793e+24,10.006722,9.106206e+08,1736.542355,1.959705e-05,0.975995,nan,1.360555e+11,1.316818e+11 
52,6286738.714726,3540.734592,5.925921e+24,10.006828,9.281960e+08,1736.761221,1.958946e-05,0.975731,nan,1.361263e+11,1.317526e+11 
53,6286242.641905,3541.191714,5.925048e+24,10.006934,9.457739e+08,1736.979971,1.958187e-05,0.975466,nan,1.361971e+11,1.318233e+11 
54,6285746.569084,3541.648722,5.924176e+24,10.007040,9.633542e+08,1737.198607,1.957429e-05,0.975202,nan,1.362678e+11,1.318941e+11 
55,6285250.496263,3542.105614,5.923304e+24,10.007146,9.809369e+08,1737.417128,1.956672e-05,0.974938,nan,1.363386e+11,1.319648e+11 
56,6284754.423442,3542.562393,5.922431e+24,10.007252,9.985221e+08,1737.635534,1.955915e-05,0.974674,nan,1.364094e+11,1.320356e+11 
57,6284258.350621,3543.019056,5.921559e+24,10.007358,1.016110e+09,1737.853826,1.955159e-05,0.974410,nan,1.364801e+11,1.321063e+11 
58,6283762.277800,3543.475606,5.920687e+24,10.007463,1.033700e+09,1738.072004,1.954404e-05,0.974146,nan,1.365509e+11,1.321771e+11 
59,6283266.204979,3543.932042,5.919815e+24,10.007569,1.051292e+09,1738.290067,1.953648e-05,0.973883,nan,1.366217e+11,1.322478e+11 
60,6282770.132158,3544.388363,5.918943e+24,10.007675,1.068887e+09,1738.508016,1.952894e-05,0.973620,nan,1.366924e+11,1.323186e+11 
61,6282274.059337,3544.844571,5.918070e+24,10.007781,1.086485e+09,1738.725851,1.952140e-05,0.973356,nan,1.367632e+11,1.323893e+11 
62,6281777.986516,3545.300665,5.917198e+24,10.007886,1.104085e+09,1738.943572,1.951387e-05,0.973093,nan,1.368339e+11,1.324600e+11 
63,6281281.913695,3545.756645,5.916326e+24,10.007992,1.121687e+09,1739.161180,1.950634e-05,0.972831,nan,1.369047e+11,1.325308e+11 
64,6280785.840874,3546.212512,5.915454e+24,10.008097,1.139292e+09,1739.378673,1.949882e-05,0.972568,nan,1.369754e+11,1.326015e+11 
65,6280289.768053,3546.668265,5.914582e+24,10.008203,1.156899e+09,1739.596053,1.949130e-05,0.972306,nan,1.370462e+11,1.326723e+11 
66,6279793.695232,3547.123905,5.913710e+24,10.008308,1.174509e+09,1739.813320,1.948379e-05,0.972043,nan,1.371169e+11,1.327430e+11 
67,6279297.622411,3547.579432,5.912838e+24,10.008414,1.192121e+09,1740.030473,1.947629e-05,0.971781,nan,1.371877e+11,1.328137e+11 
68,6278801.549590,3548.034845,5.911966e+24,10.008519,1.209736e+09,1740.247513,1.946879e-05,0.971519,nan,1.372584e+11,1.328845e+11 
69,6278305.476769,3548.490146,5.911094e+24,10.008624,1.227353e+09,1740.464440,1.946130e-05,0.971258,nan,1.373292e+11,1.329552e+11 
70,6277809.403948,3548.945333,5.910222e+24,10.008730,1.244972e+09,1740.681254,1.945381e-05,0.970996,nan,1.373999e+11,1.330259e+11 
71,6277313.331127,3549.400408,5.909350e+24,10.008835,1.262594e+09,1740.897955,1.944633e-05,0.970735,nan,1.374706e+11,1.330966e+11 
72,6276817.258306,3549.855370,5.908478e+24,10.008940,1.280219e+09,1741.114543,1.943885e-05,0.970473,nan,1.375414e+11,1.331674e+11 
73,6276321.185485,3550.310220,5.907607e+24,10.009045,1.297846e+09,1741.331019,1.943138e-05,0.970212,nan,1.376121e+11,1.332381e+11 
74,6275825.112664,3550.764957,5.906735e+24,10.009150,1.315475e+09,1741.547382,1.942392e-05,0.969951,nan,1.376828e+11,1.333088e+11 
75,6275329.039844,3551.219582,5.905863e+24,10.009255,1.333107e+09,1741.763633,1.941646e-05,0.969691,nan,1.377536e+11,1.333795e+11 
76,6274832.967023,3551.674094,5.904991e+24,10.009360,1.350741e+09,1741.979771,1.940900e-05,0.969430,nan,1.378243e+11,1.334502e+11 
77,6274336.894202,3552.128495,5.904119e+24,10.009465,1.368377e+09,1742.195797,1.940156e-05,0.969170,nan,1.378950e+11,1.335210e+11 
78,6273840.821381,3552.582783,5.903248e+24,10.009570,1.386016e+09,1742.411711,1.939411e-05,0.968909,nan,1.379657e+11,1.335917e+11 
79,6273344.748560,3553.036959,5.902376e+24,10.009675,1.403658e+09,1742.627512,1.938668e-05,0.968649,nan,1.380364e+11,1.336624e+11 
80,6272848.675739,3553.491024,5.901504e+24,10.009780,1.421302e+09,1742.843202,1.937925e-05,0.968389,nan,1.381072e+11,1.337331e+11 
81,6272352.602918,3553.944977,5.900633e+24,10.009885,1.438948e+09,1743.058781,1.937182e-05,0.968130,nan,1.381779e+11,1.338038e+11 
82,6271856.530097,3554.398818,5.899761e+24,10.009989,1.456597e+09,1743.274247,1.936440e-05,0.967870,nan,1.382486e+11,1.338745e+11 
83,6271360.457276,3554.852548,5.898890e+24,10.010094,1.474248e+09,1743.489602,1.935699e-05,0.967611,nan,1.383193e+11,1.339452e+11 
84,6270864.384455,3555.306166,5.898018e+24,10.010198,1.491902e+09,1743.704845,1.934958e-05,0.967351,nan,1.383900e+11,1.340159e+11 
85,6270368.311634,3555.759673,5.897147e+24,10.010303,1.509558e+09,1743.919978,1.934218e-05,0.967092,nan,1.384607e+11,1.340866e+11 
86,6269872.238813,3556.213069,5.896275e+24,10.010407,1.527216e+09,1744.134999,1.933478e-05,0.966833,nan,1.385314e+11,1.341574e+11 
87,6269376.165992,3556.666354,5.895404e+24,10.010512,1.544877e+09,1744.349908,1.932739e-05,0.966575,nan,1.386021e+11,1.342281e+11 
88,6268880.093171,3557.119528,5.894532e+24,10.010616,1.562541e+09,1744.564707,1.932000e-05,0.966316,nan,1.386728e+11,1.342988e+11 
89,6268384.020350,3557.572591,5.893661e+24,10.010721,1.580207e+09,1744.779395,1.931262e-05,0.966058,nan,1.387435e+11,1.343695e+11 
90,6267887.947529,3558.025544,5.892789e+24,10.010825,1.597875e+09,1744.993972,1.930525e-05,0.965799,nan,1.388142e+11,1.344402e+11 
91,6267391.874708,3558.478386,5.891918e+24,10.010929,1.615546e+09,1745.208439,1.929788e-05,0.965541,nan,1.388849e+11,1.345108e+11 
92,6266895.801887,3558.931117,5.891047e+24,10.011034,1.633219e+09,1745.422794,1.929052e-05,0.965283,nan,1.389556e+11,1.345815e+11 
93,6266399.729066,3559.383737,5.890175e+24,10.011138,1.650894e+09,1745.637040,1.928316e-05,0.965026,nan,1.390263e+11,1.346522e+11 
94,6265903.656245,3559.836248,5.889304e+24,10.011242,1.668572e+09,1745.851175,1.927580e-05,0.964768,nan,1.390970e+11,1.347229e+11 
95,6265407.583424,3560.288648,5.888433e+24,10.011346,1.686253e+09,1746.065200,1.926846e-05,0.964511,nan,1.391677e+11,1.347936e+11 
96,6264911.510603,3560.740938,5.887561e+24,10.011450,1.703936e+09,1746.279114,1.926112e-05,0.964253,nan,1.392384e+11,1.348643e+11 
97,6264415.437782,3561.193119,5.886690e+24,10.011554,1.721621e+09,1746.492919,1.925378e-05,0.963996,nan,1.393090e+11,1.349350e+11 
98,6263919.364961,3561.645189,5.885819e+24,10.011658,1.739309e+09,1746.706614,1.924645e-05,0.963739,nan,1.393797e+11,1.350057e+11 
99,6263423.292140,3562.097149,5.884948e+24,10.011762,1.756999e+09,1746.920198,1.923912e-05,0.963483,nan,1.394504e+11,1.350764e+11 
100,6262927.219319,3562.549000,5.884077e+24,10.011866,1.774692e+09,1747.133674,1.923180e-05,0.963226,nan,1.395211e+11,1.351470e+11 
